cliente_id,prob_churn_log,prob_churn_rf,alerta_log,alerta_rf
5235,0.8729328315428854,0.7805761142166557,1,1
8815,0.8066735702120313,0.7158754966875963,1,1
3546,0.6516376252206846,0.7131343298105749,1,1
23473,0.7946837307039364,0.7118998834146683,1,1
2757,0.7507598808826403,0.7081988836047803,1,1
6071,0.7630002024749596,0.7051452413954074,1,1
23179,0.8643807847730413,0.7044259126829142,1,1
18853,0.7515049674950528,0.7037751085990613,1,1
27044,0.845596974483802,0.7034439719018821,1,1
14032,0.894598401015442,0.6992468235848338,1,1
2211,0.7110433631948058,0.6979958667976837,1,1
4643,0.8022633715287221,0.6961626225733627,1,1
16438,0.7698193369293111,0.6930418325026251,1,1
10658,0.8984752119814032,0.6864607545604151,1,1
1024,0.850351451484143,0.6831668954849891,1,1
12438,0.6436507864958652,0.6831304827179266,1,1
26889,0.8217738813262103,0.6818486382768804,1,1
20403,0.846999032812355,0.6804986925249193,1,1
3556,0.830023335079808,0.6801938479784786,1,1
13598,0.7469919085690279,0.6800242728156318,1,1
5463,0.8546448965718562,0.6790158004004713,1,1
24256,0.8358632228160354,0.6789568019771355,1,1
4412,0.7412472528862208,0.6784091713624008,1,1
25004,0.8091833249890298,0.6780398728014962,1,1
10360,0.794329817446712,0.6776639331120061,1,1
13650,0.828204822115223,0.6773241715557273,1,1
24937,0.9131100657246122,0.6743046482792494,1,1
11152,0.8601971182011448,0.673570633615465,1,1
21260,0.8689615903884494,0.6731916818427021,1,1
20107,0.779879839808143,0.672766919555574,1,1
13481,0.9323936928949981,0.6722290161153268,1,1
15521,0.8323698427931494,0.6717693626723431,1,1
17592,0.790517322188221,0.6716887310805763,1,1
25255,0.7751356630935091,0.670810716863055,1,1
24763,0.830347738644796,0.6704474974842027,1,1
10405,0.7888783284420964,0.6699522374676874,1,1
30168,0.8659519213632282,0.6694724572309829,1,1
25254,0.7235645745246542,0.6691500071315284,1,1
6659,0.7573837795853806,0.667235140406379,1,1
23810,0.7792447928711643,0.666854503373116,1,1
4223,0.8033242887154712,0.6658507348758499,1,1
13061,0.7152439474479261,0.6649760128228784,1,1
30231,0.7771942143029211,0.6645179524644326,1,1
12271,0.9324200446227502,0.6644286846397057,1,1
4565,0.7351211827859373,0.6642142754871003,1,1
26371,0.7134059712599742,0.66380617924868,1,1
22523,0.7730421524581298,0.6632620793078258,1,1
22608,0.6811858762761227,0.6632555696273446,1,1
21275,0.8344019885793825,0.663139523868522,1,1
9635,0.8126313131329421,0.662548286657025,1,1
21528,0.7736607989176207,0.6623617700398485,1,1
13564,0.8940925807991666,0.6622734968007792,1,1
3478,0.6817261606003189,0.6620303247529554,1,1
16553,0.8277536054686442,0.6618452233548889,1,1
