cliente_id,prob_churn_rf_reg,alerta_rf_reg
5235,0.672205870877799,1
2757,0.6404886969077593,1
8815,0.6400396783077913,1
4260,0.6375809438142269,1
23473,0.6375531065998192,1
13598,0.635930408198531,1
10658,0.6282809208473465,1
14032,0.6270060878412658,1
20403,0.6267406425539214,1
12271,0.625017575436389,1
10480,0.6243060855100012,1
24937,0.6231829023830233,1
27044,0.6222027746614046,1
1024,0.6188176707532106,1
23810,0.6182301801181156,1
26300,0.618059684393024,1
23179,0.6172638273039681,1
4412,0.6168387609183944,1
16033,0.6163654238928113,1
13650,0.615186193922203,1
13481,0.6149603613587457,1
26868,0.614709747159543,1
21260,0.612839511445764,1
3929,0.6123759315744851,1
17592,0.6122739689708809,1
12438,0.612250255758699,1
27553,0.6118114213878953,1
29647,0.6117805100411229,1
30800,0.6111235281487007,1
23114,0.6110237635572101,1
26290,0.6107555433610197,1
4643,0.610652737304858,1
27151,0.6106503514769515,1
18853,0.6104483782620573,1
11152,0.6097315641212667,1
9635,0.6094359496081624,1
6659,0.6091376741602074,1
17546,0.6089494665307115,1
18016,0.6088091645283182,1
3556,0.6087273154844692,1
24745,0.6085176930671736,1
11926,0.6081567925847353,1
22523,0.608037264111533,1
16438,0.6079628769824152,1
16969,0.6078928305737449,1
4925,0.607873684849207,1
26889,0.6076182357147656,1
15521,0.6072150019807508,1
6628,0.6071871847424566,1
436,0.6070628032754946,1
30168,0.6068041263889493,1
21275,0.6066473172689532,1
5937,0.6065403912354855,1
2211,0.6061984006670998,1
4966,0.6058302884082658,1
26237,0.6057958376017776,1
25004,0.6056940640834391,1
11674,0.6055811298434448,1
1067,0.6054104657883674,1
5463,0.6051121849256064,1
5599,0.6048746872092847,1
10360,0.6048623571095293,1
13658,0.6047927175842309,1
9879,0.6046968087403567,1
6290,0.6044623440799006,1
29927,0.60416039066919,1
5214,0.6038668391529395,1
14260,0.6038069818897411,1
5275,0.6037355041620835,1
8263,0.603725974012363,1
9639,0.6034279101141417,1
16553,0.6034205855726422,1
21528,0.603389698311008,1
20212,0.6032210610557,1
173,0.6028383173456168,1
10405,0.6027244042119609,1
14908,0.6027130603012305,1
4565,0.6024971302662853,1
27650,0.6021569223013785,1
3546,0.6018428290222713,1
13061,0.6016962161507243,1
29655,0.6014858852596222,1
30231,0.601302247321974,1
25543,0.6012729289539588,1
5551,0.6011579645804774,1
24256,0.6008551167558346,1
25255,0.6008351787404685,1
23213,0.6008085701329217,1
9975,0.6007884732608182,1
22174,0.6004474164096237,1
24284,0.6002385153641014,1
9383,0.6001145620266553,1
4223,0.6000631798896443,1
26879,0.5999381446740302,1
10665,0.5998607781100032,1
11021,0.5998507365114428,1
10303,0.5998214512410383,1
19213,0.5998157742273644,1
524,0.5997248486594128,1
18657,0.5994970747015138,1
18032,0.5992862305458684,1
12354,0.5992352759074921,1
9682,0.5992007543234856,1
16968,0.5988833851819371,1
11239,0.5986587238770615,1
23209,0.5980486257978257,1
26189,0.5979693599436542,1
25254,0.5977389747387519,1
23772,0.5977006097827031,1
11577,0.5975637771986505,1
10802,0.5974459345793778,1
12283,0.5973295650191597,1
7527,0.5973215366083822,1
1229,0.5972009417159992,1
12132,0.5966004109627432,1
27493,0.5965758603634709,1
6,0.5965003154404429,1
25199,0.5962944903149573,1
28240,0.595987665779282,1
410,0.5959505287147393,1
20107,0.595916004519026,1
22608,0.595778303332102,1
17337,0.5954281874128549,1
18552,0.5953385485271314,1
30246,0.5950281695678131,1
1151,0.5950129435796714,1
3478,0.5946240264744183,1
26242,0.5946220858978575,1
14524,0.594589475560172,1
30747,0.5945755863676926,1
11189,0.594573981094949,1
2946,0.5945582130081325,1
25086,0.5945562952195279,1
8129,0.5943567869378424,1
12298,0.5941391637494503,1
7713,0.5940967181755968,1
23705,0.594085959073279,1
8262,0.5940827758844354,1
22642,0.5940453262996133,1
26885,0.5938811706623006,1
3022,0.5937391667219558,1
6537,0.5935988795319528,1
24763,0.5935688439816649,1
9664,0.593550132569187,1
7377,0.5934946613161762,1
34,0.5934508426865911,1
7636,0.5934473564435152,1
14775,0.5932224316950677,1
932,0.5931134764209455,1
3040,0.5931061329122707,1
27111,0.5930750208441051,1
20905,0.5930423385980028,1
10189,0.592604713470396,1
7235,0.592431898976622,1
12883,0.5923618624130372,1
18282,0.5922025910859986,1
22736,0.5921258110515385,1
5357,0.5920510032394403,1
19158,0.5919593364518327,1
10120,0.5918772718772248,1
29790,0.5917979120079248,1
26369,0.5917934497333038,1
14956,0.591744869719077,1
28729,0.5916422787987512,1
18293,0.5915834343135,1
17267,0.5915740395866057,1
3901,0.5915712220506603,1
5436,0.5915367076324771,1
16306,0.5913840356049702,1
14826,0.5913704821114432,1
26528,0.5912919067047845,1
23668,0.5912468605533878,1
6819,0.5910893374207354,1
28175,0.5910582628553085,1
4995,0.5909782811242805,1
19567,0.5909361152954002,1
23740,0.59088291785341,1
26664,0.5907879362518931,1
21960,0.5907583223535297,1
15180,0.5907169282478498,1
5165,0.5907114392883873,1
1079,0.5907007903758252,1
16927,0.5905904102174807,1
29888,0.5904357005304305,1
26339,0.5902703116920461,1
11878,0.5902014298374496,1
22168,0.5901988716891533,1
13319,0.5901845751749804,1
771,0.5900849558193975,1
24660,0.5900536334268998,1
29844,0.5900197112500198,1
9883,0.5898808853485407,1
4595,0.5897059663438059,1
13164,0.5895604748378247,1
10823,0.5893655965642782,1
8076,0.5893122498427632,1
25897,0.5892661810615276,1
9676,0.5890934695871592,1
29814,0.5889536531568429,1
3612,0.5887881364571859,1
18864,0.5885767573963843,1
13814,0.5885702602027973,1
4348,0.5885087520027327,1
18248,0.5884895929611148,1
14569,0.5884502708329451,1
26805,0.5882958767066943,1
26342,0.5882406649667988,1
13365,0.5882358133668567,1
10041,0.5882099732174495,1
11377,0.588206942412364,1
25160,0.5881969238175357,1
4030,0.5881725692566073,1
20182,0.5880200663796893,1
18003,0.5879948353921673,1
26313,0.5878978898084425,1
22861,0.587756512682624,1
28702,0.5877393266251576,1
